,RB,AST,STL,BLK,TOV,PPG,FG%,3P%,2P%,FT%
RB,1.0,-0.365560898053,-0.163700859888,0.701853645367,0.0121010488806,0.0517958267026,0.593033910832,-0.647289549746,0.446965517103,-0.435576716329
AST,-0.365560898053,1.0,0.401233422942,-0.362525013194,0.689874879341,0.203901167438,-0.260375780889,0.27634963071,-0.260511034163,0.226955252934
STL,-0.163700859888,0.401233422942,1.0,-0.156749307202,0.273080329136,0.0407330576642,-0.164533648266,0.167626554348,-0.105634882701,-0.0286003347919
BLK,0.701853645367,-0.362525013194,-0.156749307202,1.0,-0.0132686899857,0.0103729534587,0.559733802869,-0.581823830913,0.446022302972,-0.408111778249
TOV,0.0121010488806,0.689874879341,0.273080329136,-0.0132686899857,1.0,0.409748654297,-0.0527285321009,0.00717074550646,-0.123025632839,0.0326082340263
PPG,0.0517958267026,0.203901167438,0.0407330576642,0.0103729534587,0.409748654297,1.0,0.18095272561,0.164785149215,0.113697734553,0.270703576615
FG%,0.593033910832,-0.260375780889,-0.164533648266,0.559733802869,-0.0527285321009,0.18095272561,1.0,-0.497746040193,0.852442918359,-0.356462372913
3P%,-0.647289549746,0.27634963071,0.167626554348,-0.581823830913,0.00717074550646,0.164785149215,-0.497746040193,1.0,-0.356257253745,0.411341540455
2P%,0.446965517103,-0.260511034163,-0.105634882701,0.446022302972,-0.123025632839,0.113697734553,0.852442918359,-0.356257253745,1.0,-0.259411174436
FT%,-0.435576716329,0.226955252934,-0.0286003347919,-0.408111778249,0.0326082340263,0.270703576615,-0.356462372913,0.411341540455,-0.259411174436,1.0
