Name,Pos,RB,AST,STL,BLK,TOV,PPG,FG%,3P%,2P%,FT%
Tyler Zeller,C,9.15,1.53,0.61,1.22,2.44,18.61,0.48,0.0,0.48,0.83
Joffrey Lauvergne,C,10.02,1.84,0.41,0.61,1.84,16.16,0.52,0.22,0.56,0.92
Alex Len,C,11.74,1.85,0.77,1.24,2.94,13.91,0.42,0.0,0.43,0.71
Dewayne Dedmon,C,11.51,0.59,1.18,2.36,1.77,12.98,0.55,0.0,0.55,0.77
Brook Lopez,C,8.33,2.14,0.85,1.82,2.56,22.01,0.51,0.0,0.52,0.78
Robin Lopez,C,9.7,1.86,0.27,2.13,2.13,13.68,0.54,0.0,0.54,0.8
Ian Mahinmi,C,9.98,2.11,1.27,1.55,1.97,13.08,0.59,0.0,0.59,0.59
Boban Marjanovic,C,13.79,1.53,0.77,1.53,1.91,21.06,0.59,0.0,0.59,0.76
DeMarcus Cousins,C,11.97,3.43,1.66,1.46,3.95,27.99,0.45,0.34,0.47,0.72
JaVale McGee,C,12.88,0.33,0.33,2.64,1.98,16.84,0.59,0.0,0.59,0.45
Gorgui Dieng,C,9.43,2.26,1.46,1.59,2.26,13.42,0.54,0.5,0.54,0.83
Salah Mejri,C,11.08,0.92,0.62,3.38,2.15,11.38,0.61,0.0,0.61,0.57
Tyson Chandler,C,12.78,1.47,0.73,1.03,2.06,10.58,0.58,0.0,0.6,0.62
Timofey Mozgov,C,9.1,0.83,0.62,1.66,1.86,13.03,0.57,0.0,0.59,0.69
Mike Muscala,C,7.66,2.3,0.77,1.91,1.91,12.64,0.52,0.29,0.58,0.71
Clint Capela,C,12.06,1.13,1.51,2.26,1.51,13.19,0.58,0.0,0.59,0.37
Joakim Noah,C,14.47,6.25,0.99,1.64,2.96,7.07,0.39,0.0,0.39,0.5
Nerlens Noel,C,9.95,2.21,2.21,1.84,2.95,13.64,0.52,0.0,0.53,0.59
Jusuf Nurkic,C,11.58,2.74,1.68,2.95,3.58,17.26,0.42,0.0,0.43,0.61
Jahlil Okafor,C,8.4,1.44,0.48,1.44,2.76,21.0,0.51,0.0,0.51,0.68
Kelly Olynyk,C,7.31,2.67,1.43,0.89,1.96,17.82,0.46,0.4,0.48,0.74
